1,20
2,21
3,22
1,23
3,24
1,25
2,26
1,27
1,28
3,29
1,841
4,842
5,843
1,844
2,845
1,846
1,847
1,848
3,849
1,1730
3,1731
1,1733
2,1734
4,1735
1,1737
2,1738
4,1739
6,2690
1,2691
1,2692
3,2693
1,2695
3,2696
1,2697
1,2699
1,3520
1,3521
8,3522
1,3523
2,3524
1,3525
3,3526
1,3527
1,3528
1,4390
1,4391
6,4392
1,4393
1,4394
2,4395
1,4396
1,4398
1,4399
2,5330
8,5331
8,5334
2,5335
1,5336
1,5337
1,5338
2,6330
1,6331
1,6332
1,6333
7,6334
1,6335
1,6336
4,6337
8,6338
2,7260
2,7261
1,7262
1,7263
1,7264
2,7265
1,7266
2,7267
3,7268
1,7269
1,8131
1,8132
1,8134
1,8135
3,8136
1,8137
6,8138
4,8139
